Main Category,Subcategory,Question
Technical & Construction,2.26 Bricklayer / Masonry Contractor,How large is the project (m² or number of rooms)?
Technical & Construction,2.26 Bricklayer / Masonry Contractor,Do you already have materials?
Technical & Construction,2.26 Bricklayer / Masonry Contractor,Do you need a permit or plan?
Technical & Construction,2.26 Bricklayer / Masonry Contractor,When do you want the work done?
Technical & Construction,2.27 Rough Construction Carpenter,What type of work is required?
Technical & Construction,2.27 Rough Construction Carpenter,How large is the project (m² or number of rooms)?
Technical & Construction,2.27 Rough Construction Carpenter,Do you already have materials?
Technical & Construction,2.27 Rough Construction Carpenter,Do you need a permit or plan?
Technical & Construction,2.27 Rough Construction Carpenter,When do you want the work done?
Technical & Construction,2.28 Staircase Builder,What type of work is required?
Technical & Construction,2.28 Staircase Builder,How large is the project (m² or number of rooms)?
Technical & Construction,2.28 Staircase Builder,Do you already have materials?
Technical & Construction,2.28 Staircase Builder,Do you need a permit or plan?
Technical & Construction,2.28 Staircase Builder,When do you want the work done?
Technical & Construction,2.29 Glazier / Window Installer,What type of work is required?
Technical & Construction,2.29 Glazier / Window Installer,How large is the project (m² or number of rooms)?
Technical & Construction,2.29 Glazier / Window Installer,Do you already have materials?
Technical & Construction,2.29 Glazier / Window Installer,Do you need a permit or plan?
Technical & Construction,2.29 Glazier / Window Installer,When do you want the work done?
