Main Category,Subcategory,Question
Maintenance & Repairs,4.9 Light Fixture / Switch Installation,When should the installation be done?
Maintenance & Repairs,4.10 Curtain Rail / Blind Mounting,Do you already have the curtain rail or blinds?
Maintenance & Repairs,4.10 Curtain Rail / Blind Mounting,How many windows are involved?
Maintenance & Repairs,4.10 Curtain Rail / Blind Mounting,"What type of wall are they mounted on? (e.g., concrete, drywall)"
Maintenance & Repairs,4.10 Curtain Rail / Blind Mounting,Do you need removal of old systems?
Maintenance & Repairs,4.10 Curtain Rail / Blind Mounting,When should the installation take place?
Maintenance & Repairs,4.11 Silicone Sealing / Kit Replacement,"Which area needs sealing? (e.g., bathroom, kitchen, windows)"
Maintenance & Repairs,4.11 Silicone Sealing / Kit Replacement,Is this for new installation or old sealant removal?
Maintenance & Repairs,4.11 Silicone Sealing / Kit Replacement,What is the approximate length (meters)?
Maintenance & Repairs,4.11 Silicone Sealing / Kit Replacement,Do you provide materials?
Maintenance & Repairs,4.11 Silicone Sealing / Kit Replacement,When should the work be done?
Maintenance & Repairs,4.12 Painter / Decorator,"What needs to be painted or decorated? (e.g., wall, ceiling, furniture)"
Maintenance & Repairs,4.12 Painter / Decorator,What is the total surface area (approx. m²)?
Maintenance & Repairs,4.12 Painter / Decorator,"Is preparation required (e.g., sanding, plastering)?"
Maintenance & Repairs,4.12 Painter / Decorator,Do you provide the paint?
Maintenance & Repairs,4.12 Painter / Decorator,When should the work start?
Maintenance & Repairs,4.13 Plasterer / Drywall Finisher,What area needs plastering or finishing?
Maintenance & Repairs,4.13 Plasterer / Drywall Finisher,Is it new drywall or a repair?
Maintenance & Repairs,4.13 Plasterer / Drywall Finisher,What is the total surface area (approx. m²)?
Maintenance & Repairs,4.13 Plasterer / Drywall Finisher,Is sanding or painting also required?
Maintenance & Repairs,4.13 Plasterer / Drywall Finisher,When should the job begin?
Maintenance & Repairs,4.14 Tile Setter / Floor Layer,"What type of surface do you want to install? (e.g., tiles, laminate, vinyl)"
Maintenance & Repairs,4.14 Tile Setter / Floor Layer,What is the surface area (approx. m²)?
Maintenance & Repairs,4.14 Tile Setter / Floor Layer,Do you already have the materials?
Maintenance & Repairs,4.14 Tile Setter / Floor Layer,Do you need removal of old flooring?
Maintenance & Repairs,4.14 Tile Setter / Floor Layer,When do you want installation done?
